YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
2002,2,385,8330.290174889104,21.637117337374296,15-20,0.22475189725627553,SH
2002,3,456,9592.437870622158,21.0360479618907,20-90.0001,0.266199649737303,SH
2003,0,263,4592.395006355031,17.46157797093168,0-10,0.1073907717435688,SH
2003,1,939,17233.105662920607,18.352615189478815,10-15,0.3834218048182932,SH
2003,2,620,12917.180253420407,20.834161699065174,15-20,0.25316455696202533,SH
2003,3,627,13086.687319815697,20.871909600981972,20-90.0001,0.2560228664761127,SH
2004,0,269,5192.243538732356,19.302020590083107,0-10,0.16117435590173756,SH
2004,1,502,9411.061484545602,18.74713443136574,10-15,0.3007789095266627,SH
2004,2,505,10406.752778715769,20.60743124498172,15-20,0.3025763930497304,SH
2004,3,393,8186.875223258799,20.831743570633076,20-90.0001,0.23547034152186938,SH
2005,0,230,4481.425235718955,19.484457546604155,0-10,0.1265126512651265,SH
2005,1,674,12999.781175266724,19.2875091621168,10-15,0.37073707370737075,SH
2005,2,427,9193.831586850396,21.531221514872122,15-20,0.23487348734873487,SH
2005,3,487,9969.894727538927,20.47206309556248,20-90.0001,0.2678767876787679,SH
2006,0,159,2744.9196271571254,17.2636454538184,0-10,0.09543817527010805,SH
2006,1,687,13260.277207085292,19.301713547431284,10-15,0.41236494597839135,SH
2006,2,511,11842.461340969952,23.175071117358026,15-20,0.3067226890756303,SH
2006,3,309,6657.348305738564,21.544816523425773,20-90.0001,0.18547418967587034,SH
2007,0,110,2091.164566910748,19.01058697191589,0-10,0.057441253263707574,SH
2007,1,846,16350.711436040265,19.327082075697714,10-15,0.44177545691906006,SH
2007,2,520,11025.74496668303,21.203355705159673,15-20,0.27154046997389036,SH
2007,3,439,8458.71013667392,19.26813242978114,20-90.0001,0.22924281984334205,SH
2008,0,167,3081.9377993334424,18.4547173612781,0-10,0.08983324367939753,SH
2008,1,579,10911.753893019382,18.845861645974754,10-15,0.31145777299623456,SH
2008,2,633,13765.36337863107,21.74622966608384,15-20,0.34050564819795587,SH
2008,3,480,10369.037410489347,21.602161271852808,20-90.0001,0.258203335126412,SH
2009,0,191,3026.7796570712285,15.847013911367688,0-10,0.11540785498489425,SH
