YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
2004,1,1619,34296.182974337986,21.18355958884372,15-25,0.37924572499414383,NH
2004,2,795,17426.548366547013,21.920186624587437,25-35,0.18622628250175685,NH
2004,3,447,7165.706547096947,16.030663416324266,35-90.0001,0.10470836261419536,NH
2005,0,1278,23524.82220385258,18.407529110995757,0-15,0.2903885480572597,NH
2005,1,1733,36000.93493812216,20.773765111438063,15-25,0.3937741422403999,NH
2005,2,912,18658.482652406106,20.458862557462837,25-35,0.20722563053851398,NH
2005,3,478,7984.740518672476,16.70447807253656,35-90.0001,0.1086116791638264,NH
2006,0,1203,23173.39846418859,19.263007867155935,0-15,0.3204581779435269,NH
2006,1,1794,38077.83991412152,21.225105860714336,15-25,0.4778902503995738,NH
2006,2,437,9840.186641684153,22.517589569071287,25-35,0.11640916355887054,NH
2006,3,320,4897.21744148466,15.303804504639563,35-90.0001,0.08524240809802877,NH
2007,0,760,15012.726557535234,19.753587575704255,0-15,0.2519893899204244,NH
2007,1,1448,30264.16411714109,20.900665826754896,15-25,0.48010610079575594,NH
2007,2,550,12059.706001014689,21.92673818366307,25-35,0.1823607427055703,NH
2007,3,258,4337.273681553095,16.81113830059339,35-90.0001,0.08554376657824933,NH
2008,0,1031,20729.3135343862,20.10602670648516,0-15,0.2966906474820144,NH
2008,1,1561,33175.53370012484,21.25274420251431,15-25,0.44920863309352516,NH
2008,2,607,13943.832755240792,22.971717883427992,25-35,0.17467625899280576,NH
2008,3,276,4853.172433720536,17.583958093190347,35-90.0001,0.07942446043165467,NH
2009,0,1176,24778.88766452444,21.070482707928946,0-15,0.3229881900576765,NH
2009,1,1885,40690.63012853125,21.586541182244694,15-25,0.5177149134853062,NH
2009,2,334,7555.2156331956,22.620406087411975,25-35,0.09173304037352376,NH
2009,3,246,3344.715264364401,13.596403513676426,35-90.0001,0.06756385608349355,NH
2010,0,711,13624.736152927111,19.162779399334894,0-15,0.24374357216318135,NH
2010,1,1533,30141.624088057142,19.661855243351038,15-25,0.5255399382927666,NH
2010,2,460,9343.043080380663,20.310963218218834,25-35,0.1576962632841961,NH
2010,3,213,3507.0995192290843,16.46525595882199,35-90.0001,0.07302022625985602,NH
2011,0,971,19508.13828118904,20.090770629442883,0-15,0.27608757463747513,NH
2011,1,1621,33286.121776728374,20.534313249061306,15-25,0.46090417969860675,NH
2011,2,563,11976.517959278217,21.272678435662908,25-35,0.16007961330679557,NH
2011,3,362,5807.88723127262,16.043887379206133,35-90.0001,0.10292863235712255,NH
2012,0,1142,21376.54043552403,18.71851176490721,0-15,0.30092226613965745,NH
2012,1,1466,30607.588289361003,20.87830033380696,15-25,0.3862977602108037,NH
2012,2,825,16789.71550445998,20.351170308436338,25-35,0.21739130434782608,NH
2012,3,362,5375.407564333801,14.849192166667958,35-90.0001,0.09538866930171278,NH
2013,0,1280,23862.48701999275,18.642567984369336,0-15,0.3426124197002141,NH
2013,1,1729,36044.16193931534,20.846825875833048,15-25,0.46279443254817987,NH
2013,2,598,12109.140901716617,20.249399501198358,25-35,0.16006423982869378,NH
2013,3,129,1952.4264755118568,15.135088957456254,35-90.0001,0.0345289079229122,NH
2014,0,1366,25803.79028614329,18.890036812696405,0-15,0.3691891891891892,NH
2014,1,1548,32175.21568603208,20.7850230529923,15-25,0.4183783783783784,NH
2014,2,534,11848.669629418855,22.188519905278756,25-35,0.14432432432432432,NH
2014,3,252,4266.222858948926,16.929455789479864,35-90.0001,0.0681081081081081,NH
2015,0,1852,35040.14633460071,18.920165407451787,0-15,0.3761169780666125,NH
2015,1,2113,41391.04327395232,19.58875687361681,15-25,0.42912266450040615,NH
2015,2,587,13085.001866364708,22.291314934181784,25-35,0.11921202274573517,NH
2015,3,372,6493.218202770542,17.454887641856295,35-90.0001,0.07554833468724614,NH
2016,0,961,17487.356167145877,18.19704075665544,0-15,0.23745984680009885,NH
2016,1,1970,37951.58141083695,19.264762137480687,15-25,0.4867803311094638,NH
2016,2,793,17013.84904336876,21.45504292984711,25-35,0.1959476155176674,NH
2016,3,323,5649.374545721856,17.4903236709655,35-90.0001,0.07981220657276995,NH
2017,0,1138,20500.53410766003,18.014529092847127,0-15,0.30241828328461334,NH
2017,1,1500,29834.57444825502,19.88971629883668,15-25,0.3986181238373638,NH
2017,2,838,17413.047613036866,20.77929309431607,25-35,0.22269465851714057,NH
2017,3,287,4845.761336667231,16.8841858420461,35-90.0001,0.07626893436088228,NH
2018,0,1585,28265.326632895798,17.833013648514697,0-15,0.31108930323846906,NH
2018,1,2066,41100.61120378122,19.893809875983166,15-25,0.40549558390579,NH
2018,2,919,19502.764733741595,21.221724411035467,25-35,0.1803729146221786,NH
2018,3,525,8924.68709912562,16.999403998334515,35-90.0001,0.10304219823356231,NH
2019,0,1429,24360.039874331607,17.046913837880762,0-15,0.3375059045819556,NH
2019,1,1743,35264.33472889612,20.231976321799266,15-25,0.41166745394426074,NH
2019,2,594,13306.83478242571,22.402078758292443,25-35,0.14029286726499765,NH
2019,3,468,7992.151252745268,17.077246266549718,35-90.0001,0.11053377420878602,NH
2020,0,1114,19667.611931461022,17.65494787384293,0-15,0.29177579884756416,NH
2020,1,1530,29708.393940909944,19.417250941771204,15-25,0.4007333682556312,NH
2020,2,734,16196.665495590254,22.066301765109337,25-35,0.19224724986904138,NH
2020,3,440,7359.649961663818,16.726477185599588,35-90.0001,0.11524358302776323,NH
2021,0,1166,21014.51228491579,18.022737808675632,0-15,0.3035667794845092,NH
2021,1,1604,31746.1190943437,19.791844821910036,15-25,0.41759958344181203,NH
2021,2,608,13394.328568417448,22.030145671739223,25-35,0.1582921114293153,NH
2021,3,463,8075.628692831154,17.44196261950573,35-90.0001,0.12054152564436345,NH
2022,0,840,14365.740804646346,17.102072386483744,0-15,0.2514217300209518,NH
2022,1,1534,29666.03163860132,19.339003675750533,15-25,0.4591439688715953,NH
2022,2,541,11906.315222860223,22.0079763823664,25-35,0.1619275665968273,NH
2022,3,426,6568.407154468306,15.418796137249544,35-90.0001,0.12750673451062555,NH
2023,0,1177,20745.751940425806,17.62595746850111,0-15,0.29759797724399495,NH
2023,1,1763,33664.307584169605,19.09489936708429,15-25,0.4457648546144121,NH
2023,2,681,14534.378061879941,21.34269906296614,25-35,0.17218710493046777,NH
2023,3,334,5561.237386799854,16.650411337724115,35-90.0001,0.08445006321112516,NH
