year,hemisphere,surface,total,reference,redistribution,within_band,interaction
2019,NH,ocean,19.062711932118354,19.318974023855269,-0.12296368598177354,-0.18071653967077997,0.047418133915639274
2020,NH,ocean,18.593524793562761,19.318974023855269,0.0055716257809127478,-0.9594711335928835,0.22845027751946365
2021,NH,ocean,19.681314176531593,19.318974023855269,-0.058542000664941751,0.21874646666789951,0.2021356866733674
2022,NH,ocean,18.458880296970083,19.318974023855269,0.018754138136274578,-1.0620877081060804,0.18323984308461783
2023,NH,ocean,18.557383097377382,19.318974023855269,0.14356814344204938,-0.89816192137241213,-0.0069971485475248873
1980,SH,ocean,19.188143424326288,19.727758239627551,0.30309874190250996,-0.83171999595883928,-0.010993561244933864
1981,SH,ocean,19.225441606384297,19.727758239627551,-0.20395371247345762,-0.27826736972078386,-0.020095551049012422
1982,SH,ocean,19.311595998633376,19.727758239627551,-0.22143494065513114,-0.21500607797769947,0.020278777638656542
1983,SH,ocean,17.20417676870639,19.727758239627551,-0.26382483341366703,-1.5460882489718359,-0.71366838853565817
1984,SH,ocean,20.667143111068661,19.727758239627551,0.30374445000329175,0.33330043123412456,0.30233999020369523
1985,SH,ocean,19.738267970560599,19.727758239627551,0.067737133763825064,-0.20835896869630285,0.15113156586552612
1986,SH,ocean,19.930298499352819,19.727758239627551,-0.047991168686256747,0.28856028592005944,-0.038028857508534374
1987,SH,ocean,19.463857293531206,19.727758239627551,0.0011207461253995854,-0.21030518419140407,-0.054716508030341053
1988,SH,ocean,20.956705249553352,19.727758239627551,-0.30674604486058588,1.2681205159817606,0.26757253880462567
1989,SH,ocean,20.366536790086464,19.727758239627551,0.12348361478923964,0.46855775410014178,0.046737181569532937
1990,SH,ocean,20.577115383906079,19.727758239627551,-0.34300123333497945,1.00843904850295,0.18391932911055836
1991,SH,ocean,20.083606100665936,19.727758239627551,-0.5250061552259524,0.59200771587458711,0.2888463003897519
1992,SH,ocean,20.503174871690845,19.727758239627551,-0.16698707415561803,0.94238561816617594,1.8088052739683586e-05
1993,SH,ocean,20.049936125931566,19.727758239627551,-0.065723632594188508,0.41260133689674522,-0.024699817998542782
1994,SH,ocean,18.877113219558566,19.727758239627551,-0.26687651279178093,-0.60185294510704668,0.018084437829842141
1995,SH,ocean,18.313175222776763,19.727758239627551,-0.02413754352466646,-1.2763296838515628,-0.11411578947455789
1996,SH,ocean,18.857083117241199,19.727758239627551,-0.56750999452988582,-0.62998924159899272,0.32682411374252585
1997,SH,ocean,19.696946549451262,19.727758239627551,-0.21906568451638186,0.14170146581401685,0.04655252852607545
1998,SH,ocean,19.168824835883658,19.727758239627551,0.15708754022164384,-0.65867492539907901,-0.057346018566456936
1999,SH,ocean,20.547495026250154,19.727758239627551,0.3143737055632565,0.4784271605982176,0.026935920461130934
2000,SH,ocean,18.998501935453355,19.727758239627551,0.29187952166421982,-0.86916704636873554,-0.15196877946967996
2001,SH,ocean,19.998721329585273,19.727758239627551,0.021186549687277734,0.26368218530353194,-0.013905645033087041
2002,SH,ocean,19.984093757088978,19.727758239627551,-0.13899020942036155,0.36382694506389296,0.031498781817896601
2003,SH,ocean,20.317611284200741,19.727758239627551,-0.14048697001356625,0.75657483981908524,-0.026234825232327355
2004,SH,ocean,20.151946229929969,19.727758239627551,-0.22034173064573603,0.47588335962596412,0.16864636132218713
2005,SH,ocean,20.514095969829874,19.727758239627551,0.020999754272668758,0.7750368231348379,-0.0096988472051831448
2006,SH,ocean,20.418666416577693,19.727758239627551,-0.2340907375827197,0.9748994819767185,-0.049900567443855931
2007,SH,ocean,20.097806419516509,19.727758239627551,-0.10464794959759516,0.43297608736514959,0.041720042121403039
2008,SH,ocean,21.031734588526934,19.727758239627551,0.027577300904341739,1.2488381499363306,0.027560898058711224
2009,SH,ocean,19.73082268970699,19.727758239627551,0.31529027354071615,-0.37146513028264788,0.059239306821369409
2010,SH,ocean,20.993335299321735,19.727758239627551,-0.02606698215358421,1.2978139565687792,-0.0061699147210108312
2011,SH,ocean,21.352746711261751,19.727758239627551,0.38722178271009722,1.2072352895540805,0.030531399370020394
2012,SH,ocean,20.751181613842533,19.727758239627551,0.15999361043129923,0.85536916354891934,0.008060600234767297
2013,SH,ocean,20.828913780952863,19.727758239627551,-0.11735492174425845,1.3115976479422169,-0.093087184872645251
2014,SH,ocean,19.514405090371479,19.727758239627551,0.24034947484818214,-0.37204429492194979,-0.08165832918230384
2015,SH,ocean,18.37629015516897,19.727758239627551,0.31145777068576441,-1.5040456334872245,-0.15888022165712054
2016,SH,ocean,19.66523392590851,19.727758239627551,0.25958957359065837,-0.37664841576983488,0.054534528460133312
2017,SH,ocean,18.899600695894222,19.727758239627551,0.17006380946844546,-1.1145065341778273,0.11628518097605405
2018,SH,ocean,18.419578268732504,19.727758239627551,0.38479310492911267,-1.6605184087244436,-0.0324546670997167
2019,SH,ocean,18.429647782970477,19.727758239627551,-0.10460622041041878,-1.169152797111521,-0.024351439135133116
2020,SH,ocean,18.866950841298127,19.727758239627551,0.34549532095058177,-1.2445148835408426,0.038212164260839773
2021,SH,ocean,19.222993123303805,19.727758239627551,-0.045241172993526035,-0.5325587113379685,0.073034768007750467
2022,SH,ocean,19.426933411526946,19.727758239627551,0.26354912029194888,-0.44105076328072701,-0.12332318511182637
2023,SH,ocean,19.678941496299323,19.727758239627551,-0.11600747502031275,0.2144299975489696,-0.14723926585688524
1980,NH,land,24.330999961136374,23.923545612821595,-0.16780832155902181,0.6186342124971046,-0.043371542623305545
1981,NH,land,22.41837253404498,23.923545612821595,-0.71393346141240177,-0.57791211319111391,-0.21332750417309915
1982,NH,land,22.750111025074588,23.923545612821595,-0.32943200487689017,-0.61520253284983384,-0.22880005002028611
1983,NH,land,24.882010232310488,23.923545612821595,1.3721611412160715,0.38287262361451752,-0.79656914534169743
1984,NH,land,23.824624099427552,23.923545612821595,0.038322545186949608,0.01817016914546854,-0.15541422772646127
1985,NH,land,22.325855594726782,23.923545612821595,-0.65430720642486317,-1.2056666292208238,0.26228381755087243
1986,NH,land,23.481309306219835,23.923545612821595,-0.28709900152335127,0.040867308394340995,-0.19600461347275083
1987,NH,land,23.928603510291708,23.923545612821595,0.854913250961987,-0.46077221591263606,-0.38908313757923907
1988,NH,land,25.029859965317531,23.923545612821595,0.59874211796090737,0.5331790450593239,-0.025606810524298126
1989,NH,land,23.756308693010922,23.923545612821595,-0.37612493254982704,0.56652964491824287,-0.35764163217909029
1990,NH,land,24.841877412790019,23.923545612821595,0.39877367318123036,0.5424135222196973,-0.022855395432501955
1991,NH,land,25.000469299793586,23.923545612821595,0.19821391142111655,0.75348350922752683,0.12522626632334838
1992,NH,land,24.134684759369957,23.923545612821595,0.68703882099935676,-0.24066654500206647,-0.23523312944893007
1993,NH,land,24.137957593915651,23.923545612821595,-0.11328347352482238,0.49807100404791177,-0.17037554942903568
1994,NH,land,24.166531035595472,23.923545612821595,0.23218465709707137,0.30716923223884995,-0.29636846656204396
1995,NH,land,24.141896830844551,23.923545612821595,0.44695301902215001,-0.34395658363921566,0.11535478264001808
1996,NH,land,24.099000200170671,23.923545612821595,0.33619077988643209,-0.15468170979155232,-0.0060544827458029037
1997,NH,land,24.947965828105012,23.923545612821595,0.49213382684365559,0.95755719041112619,-0.42527080197136502
1998,NH,land,27.754271005976598,23.923545612821595,0.7643275752418659,3.4469495446099163,-0.38055172669678139
1999,NH,land,24.667735217973,23.923545612821595,-0.16209863525653168,0.76086956285436114,0.14541867755357279
2000,NH,land,24.227937525651974,23.923545612821595,-0.20449713298331809,0.28207600557507817,0.22681304023861917
2001,NH,land,25.369387367687516,23.923545612821595,0.44031136922754932,1.1197764545355668,-0.1142460688971928
2002,NH,land,22.565287032471652,23.923545612821595,-0.45120747498978053,-0.9921459626767738,0.085094857316608624
2003,NH,land,25.6385755286841,23.923545612821595,0.24094525656791177,1.3793812529963929,0.094703406298200662
2004,NH,land,23.801227195154194,23.923545612821595,-1.1001320258970027,0.91029934155270587,0.067514266676896667
2005,NH,land,25.446779019171132,23.923545612821595,0.5704217005003881,0.77057875304172074,0.18223295280742854
2006,NH,land,23.831115969480784,23.923545612821595,0.77807500052496859,-0.89898258989508839,0.02847794602930781
2007,NH,land,23.887053815151074,23.923545612821595,0.75052481538877025,-0.50845431942486008,-0.27856229363443047
2008,NH,land,24.451952697217919,23.923545612821595,0.17416769111893107,0.32207859508386311,0.032160798193528725
2009,NH,land,25.945962036623492,23.923545612821595,1.110411614509347,0.87842001897966071,0.033584790312890384
2010,NH,land,22.709053097579726,23.923545612821595,-0.17197850267386169,-1.2019514089334262,0.15943739636541987
2011,NH,land,20.865988136460814,23.923545612821595,-1.9882900483921162,-0.2649413748078443,-0.80432605316082284
2012,NH,land,21.903624406956336,23.923545612821595,-1.1358031645816458,-0.60094421775562845,-0.28317382352798559
2013,NH,land,23.183218621213438,23.923545612821595,0.68431380451799662,-1.5822870593716838,0.15764626324553146
2014,NH,land,23.109959390174168,23.923545612821595,0.20789208295342454,-1.0011400699703954,-0.020338235630458369
2015,NH,land,24.471616520991091,23.923545612821595,0.11450719635793863,0.45464860788504213,-0.0210848960734865
2016,NH,land,22.304366849678011,23.923545612821595,-0.035605007101656816,-1.6214348458599792,0.037861089818048504
2017,NH,land,25.223303897566659,23.923545612821595,0.73271729725175372,0.53010572619541441,0.036935261297898814
2018,NH,land,22.574545161179579,23.923545612821595,-0.89040973876666252,-0.76665797786177814,0.30806726498642567
2019,NH,land,22.093564549397879,23.923545612821595,-1.373445359908283,-0.64835963957453269,0.19182393605910197
2020,NH,land,22.892057655980505,23.923545612821595,-1.1638248745548956,0.27198925897209147,-0.13965234125828541
2021,NH,land,24.033569493155667,23.923545612821595,-0.31575781022721949,0.43846210729334045,-0.012680416732050389
2022,NH,land,20.260336285360527,23.923545612821595,-0.94543220165892072,-2.2546814663209345,-0.46309565948121156
2023,NH,land,23.402401470316914,23.923545612821595,0.35622723092515018,-0.84374342928906776,-0.033627944140763907
1980,SH,land,22.540493122322214,23.72623620102728,-0.30288261450692078,-0.72110109524282306,-0.16175936895531812
1981,SH,land,31.87963936681637,23.72623620102728,0.24709750632073479,7.8981268975648113,0.0081787619035481596
1982,SH,land,23.672500363361529,23.72623620102728,0.19088467805587217,-0.17525975502029451,-0.069360760701325325
1983,SH,land,21.053203637940289,23.72623620102728,-0.36886687647673977,-2.2979162261198347,-0.0062494604904136386
1984,SH,land,24.817087539764024,23.72623620102728,0.043399471086987856,0.99531150140617952,0.052140366243579539
1985,SH,land,22.540259251850369,23.72623620102728,-0.19307942818077395,-1.4679059444859972,0.47500842348986339
1986,SH,land,24.148684655349918,23.72623620102728,0.56375814593502405,0.017902252668760305,-0.15921194428114263
1987,SH,land,21.77241587334084,23.72623620102728,-0.56843390084429579,-0.94312000083171876,-0.44226642601042143
1988,SH,land,24.357473396651947,23.72623620102728,-0.030369443775942528,0.49212700287667233,0.16947963652394055
1989,SH,land,22.357775193189262,23.72623620102728,0.016388188070742604,-1.5647340684495405,0.179884872540782
1990,SH,land,24.604798853065233,23.72623620102728,-0.36214458916956715,2.3629232799330211,-1.1222160387254956
1991,SH,land,24.036916496195076,23.72623620102728,0.4264726698338821,-0.14231245909997209,0.026520084433886995
1992,SH,land,25.451112558862526,23.72623620102728,-0.645844360856618,2.3341190111657228,0.03660170752614246
1993,SH,land,22.049998860139066,23.72623620102728,-0.072020939438493303,-1.7213258539746132,0.11710945252489403
1994,SH,land,21.918919472690156,23.72623620102728,0.18236901130313232,-1.9257484731946555,-0.063937266445596413
1995,SH,land,20.844835043512145,23.72623620102728,-0.5614881687537796,-2.4353067503451897,0.11539376158383671
1996,SH,land,22.823578036285085,23.72623620102728,-0.050250298996811993,-0.85921961916059519,0.0068117534152151455
1997,SH,land,25.514549566607755,23.72623620102728,0.13728432560896664,1.6283480938100281,0.022680946161486602
1998,SH,land,23.571012331991209,23.72623620102728,0.2939845544249311,-0.37365406698143838,-0.07555435647956045
1999,SH,land,22.972643317318191,23.72623620102728,-0.22948673134160114,-0.34244215614069623,-0.18166399622678717
2000,SH,land,21.83695239040717,23.72623620102728,-0.0366037658829379,-1.97559231270243,0.12291226796526106
2001,SH,land,22.369393374349265,23.72623620102728,0.1425687843127732,-1.4411863251961492,-0.058225285794635789
2002,SH,land,22.557531368448569,23.72623620102728,0.27654915534570579,-1.2542657609646575,-0.1909882269597572
2003,SH,land,22.11124185574436,23.72623620102728,0.11903732339644479,-1.599973674533073,-0.13405799414628777
2004,SH,land,24.616183397464916,23.72623620102728,0.34742083288711095,0.48168020758260394,0.060846155967923594
2005,SH,land,24.33656719394461,23.72623620102728,-0.26388053118528809,0.51558954599655871,0.35862197810606322
2006,SH,land,22.825592978919225,23.72623620102728,-0.615925370575924,-0.046697910210920762,-0.23801994132120599
2007,SH,land,26.62593346787266,23.72623620102728,0.38693520041109308,1.8370653146440672,0.67569675179021949
2008,SH,land,24.109256758483234,23.72623620102728,0.56109724439857578,-0.33987430745106312,0.16179762050844695
2009,SH,land,23.616980508322435,23.72623620102728,-0.41013260873120672,0.41819423455468763,-0.11731731852832308
2010,SH,land,26.161108901190417,23.72623620102728,-0.1919182583025022,2.6817487479844533,-0.054957789518811626
2011,SH,land,24.309598333711179,23.72623620102728,-0.041873971224438922,0.62245019242667476,0.0027859114816633926
2012,SH,land,22.778110321384428,23.72623620102728,0.52382884655562334,-1.4134140011934475,-0.058540725005025378
2013,SH,land,26.520432227029492,23.72623620102728,-0.26579748794832536,2.3504484002234358,0.70954511372710294
2014,SH,land,23.323999277210028,23.72623620102728,0.39094679416523226,-1.3281650883368255,0.53498137035434723
2015,SH,land,23.760936262866192,23.72623620102728,-0.0047689468205623364,-0.13852107093109123,0.1779900795905687
2016,SH,land,25.5747965233796,23.72623620102728,0.53142931013000827,0.70492828459866153,0.61220272762365147
2017,SH,land,24.086703900526263,23.72623620102728,-0.97305367705323631,1.1119369560111934,0.22158442054102756
2018,SH,land,24.046912705601908,23.72623620102728,-0.095465005863250241,0.4136881538189533,0.0024533566189270661
2019,SH,land,23.744704554597057,23.72623620102728,0.14739435623253661,0.34278267392845374,-0.47170867659121019
2020,SH,land,22.619325786441365,23.72623620102728,0.039891119461192337,-0.99658735628009631,-0.15021417776700735
2021,SH,land,22.357557744079998,23.72623620102728,-0.061765232860400809,-1.0239709058364057,-0.28294231825047433
2022,SH,land,23.666942401628223,23.72623620102728,0.43194037004097241,0.16253517653614002,-0.65376934597616776
2023,SH,land,23.335621869433091,23.72623620102728,0.34537432081202696,-0.84361074504751532,0.10762209264130466
