record_type,domain,year,mean_lat,n_records,fit,fit_lower,fit_upper,trend_per_decade,p_value
event,NH,2016,21.352235794067383,4047,21.005765050649643,20.297273814678192,21.464672925774703,0.5631959167393772,9.069709927751747e-05
event,NH,2017,20.809328079223633,3763,21.062084642323583,20.353535602557816,21.53596644894301,0.5631959167393772,9.069709927751747e-05
event,NH,2018,21.21088409423828,5095,21.11840423399751,20.409202090910416,21.606549585396163,0.5631959167393772,9.069709927751747e-05
event,NH,2019,20.18572235107422,4234,21.17472382567145,20.43651726009453,21.677958438933228,0.5631959167393772,9.069709927751747e-05
event,NH,2020,21.638566970825195,3818,21.23104341734539,20.48973284186185,21.740363910287673,0.5631959167393772,9.069709927751747e-05
event,NH,2021,21.17192268371582,3841,21.28736300901933,20.530326010151512,21.81367524268728,0.5631959167393772,9.069709927751747e-05
event,NH,2022,22.058202743530273,3341,21.34368260069327,20.568299148399337,21.881570112729563,0.5631959167393772,9.069709927751747e-05
event,NH,2023,20.53897476196289,3955,21.40000219236721,20.6244889274355,21.945883967256048,0.5631959167393772,9.069709927751747e-05
event,SH,1980,18.05851936340332,1966,16.973392824693157,16.32312295024371,17.515664915689573,0.15148665688254617,0.17211938190333276
event,SH,1981,17.105287551879883,1863,16.988541490381415,16.359417419575248,17.51270011208846,0.15148665688254617,0.17211938190333276
event,SH,1982,17.170364379882812,1758,17.003690156069666,16.394226735194515,17.50961614292793,0.15148665688254617,0.17211938190333276
event,SH,1983,16.29305648803711,1901,17.018838821757925,16.427996841549596,17.506532173767393,0.15148665688254617,0.17211938190333276
event,SH,1984,17.59187126159668,2067,17.033987487446176,16.463398030046015,17.503238741333536,0.15148665688254617,0.17211938190333276
event,SH,1985,16.609027862548828,1905,17.049136153134434,16.488225221640306,17.499611594968933,0.15148665688254617,0.17211938190333276
event,SH,1986,17.554889678955078,1912,17.064284818822685,16.51785819008999,17.497567251382165,0.15148665688254617,0.17211938190333276
event,SH,1987,17.334552764892578,1667,17.079433484510943,16.55218427052561,17.491800700846845,0.15148665688254617,0.17211938190333276
