lat,lon,trend,p_value,valid_years
-38.5,75.5,0.3256645546998327,0.7603323075218761,13
-38.5,76.5,-0.05623766399628494,0.8266659696701553,14
-38.5,77.5,-0.6527198380901251,0.8580276569875211,10
-38.5,78.5,0.3197285353535346,0.5371338571769023,12
-38.5,79.5,0.28715127372112237,0.7205147871362552,10
-38.5,80.5,0.6465065865055699,0.21291190281150452,11
-38.5,81.5,0.7922794117647058,0.21291190281150452,11
-38.5,83.5,1.305706209825527,0.04909798160926558,10
-38.5,84.5,0.6905414247444408,0.04909798160926558,10
-38.5,165.5,0.5289459956279798,0.2001281176786024,13
-38.5,166.5,0.5213675213675215,0.2735614117247491,14
-38.5,167.5,1.3242378600901756,0.04674494105371118,12
-38.5,168.5,2.3812721052949297,0.011174811327380355,12
-38.5,169.5,0.5921791745919992,0.24638736002924666,13
-38.5,170.5,0.9301287001306133,0.3036732148994191,12
-38.5,171.5,1.1546088704438455,0.04674494105371118,12
-38.5,172.5,0.749048851430863,0.03352416523500472,12
-38.5,173.5,1.1979971042471045,0.28313087066234666,10
-38.5,174.5,0.21030717960970863,0.9128140271840749,14
-38.5,175.5,-0.1781250000000001,0.5840703669455064,14
-38.5,176.5,0.6806752873563214,0.17269436302931984,18
-38.5,177.5,0.2644230769230773,0.6494456692174662,18
-38.5,178.5,-0.08721117027384695,0.9671423309063722,17
-38.5,179.5,-1.1341405822498642,0.0356564176022276,17
-38.5,180.5,0.07897563910474065,0.8368197050512747,17
-38.5,181.5,0.3888366437538764,0.38701399031522477,17
-38.5,182.5,0.34150479848216886,0.5366482363005154,17
-38.5,183.5,-0.04391464872738306,0.9640893612679119,16
-38.5,184.5,-0.010380555065906528,1.0,15
-38.5,185.5,-0.06332026248399458,0.8430852292699837,15
-38.5,186.5,-0.10944662316095713,0.7603323075218761,13
-38.5,187.5,0.3392650462962966,0.640428787412791,11
-38.5,189.5,-0.03035714285714302,1.0,10
-38.5,190.5,-2.005625253294088,0.0995087321591697,13
-38.5,191.5,-1.2020835665270038,0.1376458455182647,15
-38.5,192.5,-0.15164036286814989,0.5444860568259107,18
-38.5,193.5,-0.5204697389626622,0.09799379060302298,20
-38.5,194.5,-0.19663869598765496,0.38701399031522477,17
-38.5,195.5,-0.3519119696057685,0.5021582515007486,13
-38.5,196.5,-0.22722768492579837,0.8266659696701553,14
-38.5,197.5,0.1147110090196602,0.7425568219265776,14
-38.5,198.5,0.0616455078125,1.0,11
-38.5,199.5,-0.22470498251748267,0.8547770980655479,13
-38.5,200.5,-0.880008087594874,0.4362749288405292,11
-38.5,201.5,-0.7239070197044328,0.5915050369949166,10
-38.5,202.5,0.521844622576005,0.3726914904715183,12
-38.5,203.5,1.429286858974359,0.029272509186304533,11
-38.5,204.5,0.5581767429193898,0.044083783741320944,13
-38.5,205.5,1.6462769634955756,0.2104977000553373,10
-38.5,217.5,0.3472222222222222,0.5915050369949166,10
-37.5,42.5,0.46450228130486626,0.5915050369949166,10
-37.5,43.5,0.31071335758835694,0.9128140271840749,14
-37.5,44.5,0.10814300852967143,0.8925584658515614,16
-37.5,45.5,0.44756157320829415,0.6206907170753546,15
-37.5,46.5,0.48578985117446705,0.5526151250628484,15
-37.5,47.5,-0.2045724090378922,0.7317017232242102,12
-37.5,48.5,-0.04825017325017337,0.9211586502250249,15
-37.5,49.5,-1.237762345208062,0.012421845733886543,18
-37.5,50.5,-0.4399144865394774,0.34341948718274173,17
-37.5,51.5,-0.15545264175257678,0.8337352412499334,19
-37.5,52.5,-0.11782827018540146,0.9211586502250249,15
-37.5,53.5,0.5799914350229255,0.16280544974369293,16
-37.5,54.5,0.6280909756317072,0.09799379060302298,20
-37.5,55.5,-0.09587157634032652,0.8799878558277134,21
-37.5,56.5,-0.016158870269094554,0.8203382164336169,20
-37.5,57.5,-0.4616208848926868,0.5812547604118179,20
-37.5,58.5,-1.35366794058141,0.07910921509869843,16
-37.5,59.5,-1.0203155631539502,0.17403358020816395,17
-37.5,60.5,0.4628878066378059,0.12783672945149901,22
-37.5,61.5,0.8146442632170979,0.05009030568337501,19
-37.5,62.5,0.24936620333945306,0.6518692807184261,22
-37.5,63.5,0.11071802935010902,0.8326659395181515,23
-37.5,64.5,0.15744047619047635,0.6345102928818573,23
-37.5,65.5,-0.14609582228116755,0.9442166279919116,19
-37.5,66.5,-0.025761184755592192,0.9442166279919116,19
-37.5,67.5,0.061937454906205246,0.6204252937103817,16
-37.5,68.5,-0.09071451884701545,0.7603323075218761,13
-37.5,69.5,-0.7718989078548227,0.12720368763109946,13
-37.5,70.5,-0.5880468666336475,0.5829505577618919,13
-37.5,71.5,0.38450292397660846,0.6206907170753546,15
-37.5,72.5,0.7986557365023478,0.023046552822984987,18
-37.5,73.5,0.9729005562338895,0.0748246071030847,15
-37.5,74.5,0.02076623351714529,1.0,13
-37.5,75.5,0.452757713365112,0.4362749288405292,11
-37.5,76.5,0.005319760754542779,1.0,15
-37.5,78.5,-0.1326610999187332,1.0,12
-37.5,79.5,0.2920258620689656,0.8547770980655479,13
-37.5,80.5,0.6928680182295543,0.16055589143580895,13
-37.5,89.5,0.14642857142857155,1.0,10
-37.5,92.5,0.309089137214138,0.4742743507673295,10
-37.5,163.5,0.40229566169507575,0.37109336952269756,10
-37.5,165.5,0.6850368185294609,0.6312218204782533,12
-37.5,166.5,-0.3455002051992346,0.7425568219265776,14
-37.5,167.5,1.5634968102073366,0.35020138917929566,11
-37.5,168.5,1.3468164549581858,0.058587575310488894,13
-37.5,169.5,-0.16196536578341,0.9211586502250249,15
-37.5,170.5,0.25078828828828836,0.511220344688192,14
-37.5,171.5,0.35843879830594505,0.36012164775537825,13
-37.5,172.5,-0.09970812541191933,0.8795727890074994,18
-37.5,173.5,0.45625570146306116,0.5583509093759852,16
-37.5,174.5,-0.020496942394653273,1.0,16
-37.5,175.5,-0.9440131076174642,0.15005063655725903,18
-37.5,176.5,0.07925772036847382,0.8887055908352302,19
-37.5,177.5,-0.5933471072333901,0.2660517601229595,17
-37.5,178.5,0.07969940634795107,0.9671423309063722,17
-37.5,179.5,-0.44569607396856903,0.4338268403653006,17
