SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.25,0.5,0.16666667,False,2363542
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.35,0.5625,0.1875,False,2363543
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.45,0.375,0.125,False,2363544
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.55,0.5625,0.1875,False,2363545
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.65001,0.375,0.125,False,2363546
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.75,0.5,0.16666667,False,2363547
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.85,0.4375,0.14583333,False,2363548
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,191.95,0.4375,0.14583333,False,2367119
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.05,0.3125,0.104166664,False,2367120
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.15001,0.4375,0.14583333,False,2367121
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.25,0.4375,0.14583333,False,2367122
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.35,0.4375,0.14583333,False,2367123
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.45,0.3125,0.104166664,False,2367124
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.55,0.4375,0.14583333,False,2367125
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.75,0.3125,0.104166664,False,2367127
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.85,0.375,0.125,False,2367128
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,192.95,0.375,0.125,False,2367129
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.05,0.4375,0.14583333,False,2367130
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.249996,193.15001,0.3125,0.104166664,False,2367131
