SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,ROW,IS_INTERPOLATED_TIMESTEP,POT99_MM_3H
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,191.95,20.25,6.75,2442719,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,192.05,18.375,6.125,2442720,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,192.15001,16.0,5.3333335,2442721,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,192.25,10.0625,3.3541667,2442722,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,192.35,11.3125,3.7708333,2442723,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,191.65001,11.375,3.7916667,2446316,False,8.7987
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,191.75,18.0,6.0,2446317,False,8.7987
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,191.85,10.625,3.5416667,2446318,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,191.95,16.75,5.5833335,2446319,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.05,15.75,5.25,2446320,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.15001,14.0625,4.6875,2446321,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.25,10.625,3.5416667,2446322,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.35,10.4375,3.4791667,2446323,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.55,10.125,3.375,2446325,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.05,192.75,16.6875,5.5625,2446327,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,191.65001,9.4375,3.1458333,2449916,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,191.75,13.1875,4.3958335,2449917,False,8.7987
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,191.85,9.75,3.25,2449918,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,191.95,12.8125,4.2708335,2449919,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.05,11.9375,3.9791667,2449920,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.15001,12.75,4.25,2449921,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.35,12.9375,4.3125,2449923,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.45,9.875,3.2916667,2449924,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.65001,10.5625,3.5208333,2449926,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.75,19.3125,6.4375,2449927,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,192.95,10.0,3.3333333,2449929,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.95,193.45,11.25,3.75,2449934,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,191.65001,9.5,3.1666667,2453516,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,191.75,11.375,3.7916667,2453517,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,191.85,10.0,3.3333333,2453518,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,191.95,12.0,4.0,2453519,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.05,10.875,3.625,2453520,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.15001,11.375,3.7916667,2453521,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.25,10.5625,3.5208333,2453522,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.35,11.25,3.75,2453523,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.45,11.0,3.6666667,2453524,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.65001,10.4375,3.4791667,2453526,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.75,13.75,4.5833335,2453527,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.850002,192.95,10.6875,3.5625,2453529,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,191.75,10.0,3.3333333,2457117,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,191.85,10.375,3.4583333,2457118,False,8.7987
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,191.95,11.0625,3.6875,2457119,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.15001,11.1875,3.7291667,2457121,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.25,10.3125,3.4375,2457122,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.35,11.0625,3.6875,2457123,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.45,10.875,3.625,2457124,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.55,10.9375,3.6458333,2457125,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.65001,11.375,3.7916667,2457126,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.75,14.3125,4.7708335,2457127,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.85,10.3125,3.4375,2457128,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.749996,192.95,11.8125,3.9375,2457129,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,21.649998,191.85,9.5,3.1666667,2460718,False,9.038099
