year,domain,surface,band_idx,band_label,n_j,vol_j
2005,SH,land,0,0-10,2673,43886.812
2005,SH,land,1,10-15,7133,177584.25
2005,SH,land,2,15-20,9132,250414.12
2005,SH,land,3,20-90,3125,65052.5
2005,SH,ocean,0,0-10,94793,1951036.2
2005,SH,ocean,1,10-15,279833,5534662.5
2005,SH,ocean,2,15-20,173639,3611610.8
2005,SH,ocean,3,20-90,262073,5526042.0
2006,NH,land,0,0-15,17351,443654.5
2006,NH,land,1,15-25,59773,1474293.0
2006,NH,land,2,25-35,22737,560625.94
2006,NH,land,3,35-90,13117,213818.38
2006,NH,ocean,0,0-15,445188,8666290.0
2006,NH,ocean,1,15-25,555839,11355266.0
2006,NH,ocean,2,25-35,152900,3705086.0
2006,NH,ocean,3,35-90,146583,2386944.0
2006,SH,land,0,0-10,4367,69535.0
2006,SH,land,1,10-15,15209,355694.06
2006,SH,land,2,15-20,10793,279070.75
2006,SH,land,3,20-90,15265,337323.3
2006,SH,ocean,0,0-10,59410,1058454.2
2006,SH,ocean,1,10-15,274570,5221073.0
2006,SH,ocean,2,15-20,158176,3547437.5
2006,SH,ocean,3,20-90,131622,2909750.2
2007,NH,land,0,0-15,9543,213586.19
2007,NH,land,1,15-25,54282,1416399.2
2007,NH,land,2,25-35,34294,820288.0
2007,NH,land,3,35-90,18744,341239.38
2007,NH,ocean,0,0-15,298847,5576631.0
2007,NH,ocean,1,15-25,522931,10945364.0
2007,NH,ocean,2,25-35,146273,3617592.0
2007,NH,ocean,3,35-90,113070,1912989.4
2007,SH,land,0,0-10,453,8086.6875
2007,SH,land,1,10-15,17020,507107.2
2007,SH,land,2,15-20,29062,807492.2
2007,SH,land,3,20-90,15157,319921.0
2007,SH,ocean,0,0-10,48911,1002725.9
2007,SH,ocean,1,10-15,378674,7509658.0
2007,SH,ocean,2,15-20,237834,4731578.5
2007,SH,ocean,3,20-90,202933,4208008.0
2008,NH,land,0,0-15,16430,368590.75
2008,NH,land,1,15-25,62689,1582161.9
2008,NH,land,2,25-35,28388,779697.56
2008,NH,land,3,35-90,28003,583033.9
2008,NH,ocean,0,0-15,336359,6699715.5
2008,NH,ocean,1,15-25,448438,9544180.0
2008,NH,ocean,2,25-35,129460,3118347.0
2008,NH,ocean,3,35-90,113411,1879613.5
2008,SH,land,0,0-10,374,6287.5625
2008,SH,land,1,10-15,10066,251885.06
2008,SH,land,2,15-20,21377,527443.75
2008,SH,land,3,20-90,7319,157923.5
2008,SH,ocean,0,0-10,84442,1630136.9
2008,SH,ocean,1,10-15,237182,4532526.5
2008,SH,ocean,2,15-20,192317,4158262.0
2008,SH,ocean,3,20-90,215402,5018423.0
2009,NH,land,0,0-15,11862,302477.94
2009,NH,land,1,15-25,45984,1243495.5
2009,NH,land,2,25-35,15064,383212.25
2009,NH,land,3,35-90,5455,104069.625
2009,NH,ocean,0,0-15,425648,8980492.0
2009,NH,ocean,1,15-25,631756,13959734.0
2009,NH,ocean,2,25-35,94722,2331973.0
2009,NH,ocean,3,35-90,133386,1872210.5
2009,SH,land,0,0-10,3339,58190.562
2009,SH,land,1,10-15,3641,86453.375
2009,SH,land,2,15-20,15287,408813.0
2009,SH,land,3,20-90,16724,367392.75
2009,SH,ocean,0,0-10,49697,828018.25
2009,SH,ocean,1,10-15,176478,3146695.2
2009,SH,ocean,2,15-20,202866,4135608.5
2009,SH,ocean,3,20-90,239121,5073064.0
2010,NH,land,0,0-15,19480,439590.2
2010,NH,land,1,15-25,59743,1492893.5
2010,NH,land,2,25-35,10175,256233.38
2010,NH,land,3,35-90,23771,381243.75
2010,NH,ocean,0,0-15,276477,5102682.0
2010,NH,ocean,1,15-25,486476,9573040.0
2010,NH,ocean,2,25-35,132123,2707084.5
2010,NH,ocean,3,35-90,121219,2053452.8
2010,SH,land,0,0-10,2505,50656.812
2010,SH,land,1,10-15,7662,207357.0
2010,SH,land,2,15-20,15946,452510.0
2010,SH,land,3,20-90,14713,357529.62
2010,SH,ocean,0,0-10,74542,1570866.0
2010,SH,ocean,1,10-15,294240,6252276.0
2010,SH,ocean,2,15-20,210770,4770407.0
2010,SH,ocean,3,20-90,217333,4135725.0
2011,NH,land,0,0-15,13737,335583.06
2011,NH,land,1,15-25,55305,1422364.1
2011,NH,land,2,25-35,17590,487353.7
2011,NH,land,3,35-90,79423,1219600.8
2011,NH,ocean,0,0-15,389537,7664427.5
2011,NH,ocean,1,15-25,534461,10614128.0
2011,NH,ocean,2,25-35,192547,4516733.0
2011,NH,ocean,3,35-90,157420,2665374.0
2011,SH,land,0,0-10,47,798.3125
2011,SH,land,1,10-15,8898,237786.75
2011,SH,land,2,15-20,14721,373550.12
2011,SH,land,3,20-90,20444,460161.2
2011,SH,ocean,0,0-10,7303,128016.44
2011,SH,ocean,1,10-15,215688,4362236.5
2011,SH,ocean,2,15-20,195109,4328483.5
2011,SH,ocean,3,20-90,252826,5507376.5
2012,NH,land,0,0-15,22013,458764.38
2012,NH,land,1,15-25,35048,909446.44
2012,NH,land,2,25-35,25413,676950.4
2012,NH,land,3,35-90,47997,812626.56
2012,NH,ocean,0,0-15,413514,7721827.5
2012,NH,ocean,1,15-25,540828,10854865.0
2012,NH,ocean,2,25-35,292319,6431057.5
2012,NH,ocean,3,35-90,160894,2320847.5
2012,SH,land,0,0-10,994,15959.5
2012,SH,land,1,10-15,3998,85437.375
2012,SH,land,2,15-20,30253,707022.9
2012,SH,land,3,20-90,13295,297229.7
2012,SH,ocean,0,0-10,81438,1458162.4
2012,SH,ocean,1,10-15,207811,3997476.0
2012,SH,ocean,2,15-20,230462,4929554.0
2012,SH,ocean,3,20-90,236162,5300065.5
2013,NH,land,0,0-15,21016,465960.7
2013,NH,land,1,15-25,85920,2120111.8
2013,NH,land,2,25-35,32227,811314.2
2013,NH,land,3,35-90,21471,326626.44
2013,NH,ocean,0,0-15,478080,8973252.0
2013,NH,ocean,1,15-25,533776,10929019.0
2013,NH,ocean,2,25-35,160771,3620474.0
2013,NH,ocean,3,35-90,134436,2159007.5
2013,SH,land,0,0-10,492,7923.1875
2013,SH,land,1,10-15,6685,151119.25
2013,SH,land,2,15-20,15655,444249.3
2013,SH,land,3,20-90,29866,794282.0
2013,SH,ocean,0,0-10,72176,1417338.0
2013,SH,ocean,1,10-15,340669,6490744.0
2013,SH,ocean,2,15-20,177387,3923138.0
2013,SH,ocean,3,20-90,217165,4985982.5
2014,NH,land,0,0-15,17636,436992.7
2014,NH,land,1,15-25,46925,1143415.9
2014,NH,land,2,25-35,19483,465749.62
2014,NH,land,3,35-90,19133,338258.06
2014,NH,ocean,0,0-15,508004,9524910.0
2014,NH,ocean,1,15-25,462341,9342043.0
2014,NH,ocean,2,25-35,200607,5025595.5
2014,NH,ocean,3,35-90,198166,3467425.0
2014,SH,land,0,0-10,1802,29805.562
2014,SH,land,1,10-15,9815,213444.56
2014,SH,land,2,15-20,27664,717611.25
2014,SH,land,3,20-90,10526,200837.06
2014,SH,ocean,0,0-10,46567,772848.25
2014,SH,ocean,1,10-15,227427,4314485.0
2014,SH,ocean,2,15-20,232830,4826096.5
2014,SH,ocean,3,20-90,246677,4790694.0
2015,NH,land,0,0-15,12033,300946.94
2015,NH,land,1,15-25,46789,1211348.2
2015,NH,land,2,25-35,16196,456088.5
2015,NH,land,3,35-90,19141,335839.3
2015,NH,ocean,0,0-15,772623,14834050.0
2015,NH,ocean,1,15-25,787937,14907231.0
2015,NH,ocean,2,25-35,237618,5526241.5
2015,NH,ocean,3,35-90,229600,3989647.0
2015,SH,land,0,0-10,1698,36730.375
2015,SH,land,1,10-15,12563,325699.38
2015,SH,land,2,15-20,18383,418492.62
2015,SH,land,3,20-90,15350,359460.0
2015,SH,ocean,0,0-10,80418,1423744.2
2015,SH,ocean,1,10-15,242324,4370724.5
2015,SH,ocean,2,15-20,242860,4280031.0
2015,SH,ocean,3,20-90,350625,6762353.5
2016,NH,land,0,0-15,12493,269088.3
2016,NH,land,1,15-25,54866,1345722.2
2016,NH,land,2,25-35,30884,857732.3
2016,NH,land,3,35-90,32350,440251.38
2016,NH,ocean,0,0-15,306084,5611006.5
2016,NH,ocean,1,15-25,482251,8889286.0
2016,NH,ocean,2,25-35,247665,5612691.0
2016,NH,ocean,3,35-90,213019,3638399.2
2016,SH,land,0,0-10,35,456.125
2016,SH,land,1,10-15,2730,76367.25
2016,SH,land,2,15-20,8203,226724.38
2016,SH,land,3,20-90,3874,76033.375
2016,SH,ocean,0,0-10,39050,648773.56
2016,SH,ocean,1,10-15,140425,2524272.5
