domain,surface,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
SH,land,1981,31618.0,31.879639366816374,23.230090451201296,22.252241950333893,24.05232092252658,0.13659153947225733,0.46030716787530535
SH,land,1982,34401.0,23.67250036336153,23.243749605148523,22.284348289504056,24.03684602237347,0.13659153947225733,0.46030716787530535
SH,land,1983,24217.0,21.05320363794029,23.257408759095746,22.306497468985466,24.02158572392604,0.13659153947225733,0.46030716787530535
SH,land,1984,59413.0,24.817087539764024,23.271067913042973,22.347173339236406,24.010614127904823,0.13659153947225733,0.46030716787530535
SH,land,1985,49990.0,22.540259251850372,23.284727066990197,22.393998091549555,23.99105773208772,0.13659153947225733,0.46030716787530535
SH,land,1986,41767.0,24.148684655349918,23.298386220937424,22.439630178082265,23.982171071406054,0.13659153947225733,0.46030716787530535
SH,land,1987,29307.0,21.77241587334084,23.31204537488465,22.4719407313445,23.981791170013476,0.13659153947225733,0.46030716787530535
SH,land,1988,31481.0,24.357473396651947,23.325704528831874,22.506821423195028,23.99109317985066,0.13659153947225733,0.46030716787530535
SH,land,1989,38175.0,22.35777519318926,23.3393636827791,22.54802531572108,23.984703925161355,0.13659153947225733,0.46030716787530535
SH,land,1990,34614.0,24.604798853065233,23.35302283672633,22.578771221583946,23.97719774891281,0.13659153947225733,0.46030716787530535
SH,land,1991,24442.0,24.036916496195076,23.366681990673552,22.60244829913555,23.972058517650407,0.13659153947225733,0.46030716787530535
SH,land,1992,21873.0,25.451112558862526,23.38034114462078,22.631866251149663,23.973303154804356,0.13659153947225733,0.46030716787530535
SH,land,1993,43865.0,22.049998860139063,23.394000298568002,22.655604854376882,23.97881498913329,0.13659153947225733,0.46030716787530535
SH,land,1994,52417.0,21.918919472690156,23.40765945251523,22.684073439370025,23.975681724339328,0.13659153947225733,0.46030716787530535
SH,land,1995,46194.0,20.844835043512145,23.421318606462457,22.717225842974297,23.973947267923762,0.13659153947225733,0.46030716787530535
SH,land,1996,68513.0,22.823578036285085,23.43497776040968,22.73671274219165,23.978352728050552,0.13659153947225733,0.46030716787530535
SH,land,1997,47532.0,25.514549566607755,23.448636914356907,22.75631233251976,23.97800031396375,0.13659153947225733,0.46030716787530535
SH,land,1998,51411.0,23.57101233199121,23.462296068304134,22.78414723558147,23.980604104012638,0.13659153947225733,0.46030716787530535
SH,land,1999,36632.0,22.97264331731819,23.475955222251358,22.798021452619153,23.99025413564151,0.13659153947225733,0.46030716787530535
SH,land,2000,70511.0,21.83695239040717,23.489614376198585,22.811587662312814,24.000005944391802,0.13659153947225733,0.46030716787530535
SH,land,2001,52825.0,22.369393374349265,23.503273530145808,22.82502774698382,24.01364268085266,0.13659153947225733,0.46030716787530535
SH,land,2002,30604.0,22.55753136844857,23.516932684093035,22.83894151239789,24.027301834799886,0.13659153947225733,0.46030716787530535
SH,land,2003,61086.0,22.11124185574436,23.530591838040262,22.8356256616993,24.04103855450243,0.13659153947225733,0.46030716787530535
SH,land,2004,44180.0,24.616183397464916,23.544250991987486,22.841502816592282,24.061013092991157,0.13659153947225733,0.46030716787530535
SH,land,2005,22063.0,24.33656719394461,23.557910145934713,22.839389152324348,24.085140736461238,0.13659153947225733,0.46030716787530535
SH,land,2006,45634.0,22.825592978919225,23.57156929988194,22.83005004453114,24.104121005495845,0.13659153947225733,0.46030716787530535
SH,land,2007,61692.0,26.62593346787266,23.585228453829163,22.813091345774204,24.119786687442275,0.13659153947225733,0.46030716787530535
SH,land,2008,39136.0,24.109256758483237,23.59888760777639,22.804459346133466,24.1413806635904,0.13659153947225733,0.46030716787530535
SH,land,2009,38991.0,23.616980508322435,23.612546761723618,22.8167452794916,24.16617217775535,0.13659153947225733,0.46030716787530535
SH,land,2010,40826.0,26.161108901190417,23.62620591567084,22.815316481344475,24.19373967972477,0.13659153947225733,0.46030716787530535
SH,land,2011,44110.0,24.30959833371118,23.639865069618068,22.80626689472146,24.21314732118882,0.13659153947225733,0.46030716787530535
SH,land,2012,48540.0,22.778110321384425,23.65352422356529,22.80276354252809,24.23806147332823,0.13659153947225733,0.46030716787530535
